Día,Tiempo esperado total,Tiempo minimo esperado,Tiempo maximo esperado,Parqueos Libres,Carros sin antender,Almorzaron,Cantidad alumnos,Cantidad parqueos,Salidas por periodos libres,Parametros
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 8, 'red': 7, 'skyblue': 10}"
0,60,20,20,0,0,0,31,25,2,"{'yellow': 3, 'orange': 9, 'red': 8, 'skyblue': 11}"
0,290,20,130,0,0,0,35,25,3,"{'yellow': 3, 'orange': 11, 'red': 9, 'skyblue': 12}"
0,1220,20,350,0,0,0,40,25,3,"{'yellow': 4, 'orange': 12, 'red': 10, 'skyblue': 14}"
0,2080,30,350,0,1,0,43,25,3,"{'yellow': 4, 'orange': 13, 'red': 11, 'skyblue': 15}"
0,4150,30,610,0,4,0,47,25,4,"{'yellow': 4, 'orange': 14, 'red': 12, 'skyblue': 17}"
0,5740,30,610,0,4,0,51,25,4,"{'yellow': 5, 'orange': 15, 'red': 13, 'skyblue': 18}"
0,9000,40,690,0,9,0,55,25,5,"{'yellow': 5, 'orange': 17, 'red': 14, 'skyblue': 19}"
0,12600,40,690,0,14,0,60,25,5,"{'yellow': 6, 'orange': 18, 'red': 15, 'skyblue': 21}"
0,0,0,0,4,0,0,23,25,1,"{'yellow': 2, 'orange': 7, 'red': 7, 'skyblue': 7}"
0,0,0,0,1,0,0,26,25,1,"{'yellow': 2, 'orange': 8, 'red': 8, 'skyblue': 8}"
0,40,20,20,0,0,0,30,25,2,"{'yellow': 3, 'orange': 9, 'red': 9, 'skyblue': 9}"
0,180,20,30,0,0,0,36,25,3,"{'yellow': 3, 'orange': 11, 'red': 11, 'skyblue': 11}"
0,730,20,140,0,0,0,40,25,4,"{'yellow': 4, 'orange': 12, 'red': 12, 'skyblue': 12}"
0,1360,30,350,0,1,0,43,25,4,"{'yellow': 4, 'orange': 13, 'red': 13, 'skyblue': 13}"
0,2810,30,450,0,4,0,46,25,4,"{'yellow': 4, 'orange': 14, 'red': 14, 'skyblue': 14}"
0,4410,30,610,0,3,0,50,25,4,"{'yellow': 5, 'orange': 15, 'red': 15, 'skyblue': 15}"
0,7650,30,610,0,6,0,56,25,5,"{'yellow': 5, 'orange': 17, 'red': 17, 'skyblue': 17}"
0,9590,30,690,0,8,0,60,25,5,"{'yellow': 6, 'orange': 18, 'red': 18, 'skyblue': 18}"
0,0,0,0,4,0,0,23,25,1,"{'yellow': 2, 'orange': 7, 'red': 8, 'skyblue': 6}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 8, 'red': 10, 'skyblue': 7}"
0,60,20,20,0,0,0,31,25,2,"{'yellow': 3, 'orange': 9, 'red': 11, 'skyblue': 8}"
0,140,20,20,0,0,0,35,25,3,"{'yellow': 3, 'orange': 11, 'red': 12, 'skyblue': 9}"
0,410,20,130,0,0,0,40,25,5,"{'yellow': 4, 'orange': 12, 'red': 14, 'skyblue': 10}"
0,870,20,140,0,1,0,43,25,4,"{'yellow': 4, 'orange': 13, 'red': 15, 'skyblue': 11}"
0,2530,30,610,0,4,0,47,25,4,"{'yellow': 4, 'orange': 14, 'red': 17, 'skyblue': 12}"
0,4050,30,610,0,4,0,51,25,4,"{'yellow': 5, 'orange': 15, 'red': 18, 'skyblue': 13}"
0,6270,30,610,0,6,0,55,25,5,"{'yellow': 5, 'orange': 17, 'red': 19, 'skyblue': 14}"
0,7620,30,470,0,6,0,60,25,4,"{'yellow': 6, 'orange': 18, 'red': 21, 'skyblue': 15}"
0,0,0,0,3,0,0,24,25,1,"{'yellow': 2, 'orange': 7, 'red': 10, 'skyblue': 5}"
0,0,0,0,1,0,0,26,25,1,"{'yellow': 2, 'orange': 8, 'red': 11, 'skyblue': 5}"
0,50,10,20,0,0,0,31,25,2,"{'yellow': 3, 'orange': 9, 'red': 13, 'skyblue': 6}"
0,140,20,20,0,0,0,35,25,4,"{'yellow': 3, 'orange': 11, 'red': 14, 'skyblue': 7}"
0,270,20,30,0,0,0,40,25,4,"{'yellow': 4, 'orange': 12, 'red': 16, 'skyblue': 8}"
0,860,30,150,0,4,0,44,25,5,"{'yellow': 4, 'orange': 13, 'red': 18, 'skyblue': 9}"
0,1540,30,260,0,4,0,46,25,4,"{'yellow': 4, 'orange': 14, 'red': 19, 'skyblue': 9}"
0,3100,30,350,0,4,0,51,25,4,"{'yellow': 5, 'orange': 15, 'red': 21, 'skyblue': 10}"
0,4670,30,470,0,5,0,55,25,4,"{'yellow': 5, 'orange': 17, 'red': 22, 'skyblue': 11}"
0,6630,30,470,0,6,0,60,25,4,"{'yellow': 6, 'orange': 18, 'red': 24, 'skyblue': 12}"
0,0,0,0,4,0,0,23,25,1,"{'yellow': 2, 'orange': 8, 'red': 3, 'skyblue': 10}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 10, 'red': 4, 'skyblue': 11}"
0,330,20,140,0,0,0,31,25,2,"{'yellow': 3, 'orange': 11, 'red': 4, 'skyblue': 13}"
0,900,20,350,0,0,0,34,25,3,"{'yellow': 3, 'orange': 12, 'red': 5, 'skyblue': 14}"
0,2420,20,350,0,2,0,40,25,3,"{'yellow': 4, 'orange': 14, 'red': 6, 'skyblue': 16}"
0,3530,20,350,0,2,0,43,25,3,"{'yellow': 4, 'orange': 15, 'red': 6, 'skyblue': 18}"
0,4840,20,350,0,4,0,47,25,4,"{'yellow': 4, 'orange': 17, 'red': 7, 'skyblue': 19}"
0,9230,30,690,0,11,0,51,25,4,"{'yellow': 5, 'orange': 18, 'red': 7, 'skyblue': 21}"
0,10940,40,690,0,11,0,54,25,5,"{'yellow': 5, 'orange': 19, 'red': 8, 'skyblue': 22}"
0,16070,50,890,0,16,0,60,25,5,"{'yellow': 6, 'orange': 21, 'red': 9, 'skyblue': 24}"
0,0,0,0,4,0,0,23,25,1,"{'yellow': 2, 'orange': 8, 'red': 6, 'skyblue': 7}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 10, 'red': 7, 'skyblue': 8}"
0,60,20,20,0,0,0,31,25,2,"{'yellow': 3, 'orange': 11, 'red': 8, 'skyblue': 9}"
0,280,20,130,0,0,0,35,25,3,"{'yellow': 3, 'orange': 12, 'red': 9, 'skyblue': 11}"
0,960,20,150,0,2,0,40,25,4,"{'yellow': 4, 'orange': 14, 'red': 10, 'skyblue': 12}"
0,1780,20,350,0,1,0,43,25,4,"{'yellow': 4, 'orange': 15, 'red': 11, 'skyblue': 13}"
0,3220,30,350,0,3,0,47,25,4,"{'yellow': 4, 'orange': 17, 'red': 12, 'skyblue': 14}"
0,4730,30,450,0,4,0,51,25,4,"{'yellow': 5, 'orange': 18, 'red': 13, 'skyblue': 15}"
0,7270,30,610,0,5,0,55,25,5,"{'yellow': 5, 'orange': 19, 'red': 14, 'skyblue': 17}"
0,11640,40,690,0,13,0,60,25,5,"{'yellow': 6, 'orange': 21, 'red': 15, 'skyblue': 18}"
0,0,0,0,4,0,0,23,25,1,"{'yellow': 2, 'orange': 8, 'red': 7, 'skyblue': 6}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 10, 'red': 8, 'skyblue': 7}"
0,60,20,20,0,0,0,31,25,2,"{'yellow': 3, 'orange': 11, 'red': 9, 'skyblue': 8}"
